variable,codigo,descripcion,categoria
SEG_SOCIAL,9,Sin información,Régimen salud
IDADMISALUD,1,EPS,Tipo entidad
IDADMISALUD,2,EPS Subsidiado,Tipo entidad
IDADMISALUD,3,Entidad adaptada,Tipo entidad
IDADMISALUD,4,Entidad especial,Tipo entidad
IDADMISALUD,5,Entidad exceptuada,Tipo entidad
IDADMISALUD,9,Sin información,Tipo entidad
P_PMAN_IRIS,0,Natural (Enfermedad),Manera de muerte
P_PMAN_IRIS,1,Homicidio,Manera de muerte
P_PMAN_IRIS,2,Accidente,Manera de muerte
P_PMAN_IRIS,3,Pendiente investigación,Manera de muerte
P_PMAN_IRIS,4,Suicidio (Autolesión),Manera de muerte
P_PMAN_IRIS,5,No se pudo determinar,Manera de muerte
P_PMAN_IRIS,6,Desconocido,Manera de muerte
P_PMAN_IRIS,8,Intervención legal,Manera de muerte
P_PMAN_IRIS,9,Guerra,Manera de muerte
CONS_EXP,1,Médico tratante,Certificador
CONS_EXP,2,Médico no tratante,Certificador
CONS_EXP,3,Médico legista,Certificador
CONS_EXP,4,Personal salud autorizado,Certificador
CONS_EXP,5,Funcionario registro civil,Certificador
CONS_EXP,6,Otro,Certificador
CONS_EXP,9,Sin información,Certificador
MU_PARTO,1,Antes del parto,Momento muerte
MU_PARTO,2,Durante el parto,Momento muerte
MU_PARTO,3,Después del parto,Momento muerte
MU_PARTO,4,Ignorado,Momento muerte
MU_PARTO,9,Sin información,Momento muerte
T_PARTO,1,Espontáneo,Tipo de parto
T_PARTO,2,Cesárea,Tipo de parto
T_PARTO,3,Instrumentado,Tipo de parto
T_PARTO,4,Ignorado,Tipo de parto
T_PARTO,9,Sin información,Tipo de parto
TIPO_EMB,1,Simple,Multiplicidad
TIPO_EMB,2,Doble,Multiplicidad
TIPO_EMB,3,Triple,Multiplicidad
TIPO_EMB,4,Cuádruple o más,Multiplicidad
TIPO_EMB,5,Ignorado,Multiplicidad
TIPO_EMB,9,Sin información,Multiplicidad
T_GES,1,Menos de 22 semanas,Tiempo gestación
T_GES,2,22-27 semanas,Tiempo gestación
T_GES,3,28-37 semanas,Tiempo gestación
T_GES,4,38-41 semanas,Tiempo gestación
T_GES,5,42+ semanas,Tiempo gestación
T_GES,6,Ignorado,Tiempo gestación
T_GES,9,Sin información,Tiempo gestación
PESO_NAC,1,Menos de 1000g,Peso al nacer
PESO_NAC,2,1000-1499g,Peso al nacer
PESO_NAC,3,1500-1999g,Peso al nacer
PESO_NAC,4,2000-2499g,Peso al nacer
PESO_NAC,5,2500-2999g,Peso al nacer
PESO_NAC,6,3000-3499g,Peso al nacer
PESO_NAC,7,3500-3999g,Peso al nacer
PESO_NAC,8,4000g y más,Peso al nacer
PESO_NAC,9,Sin información,Peso al nacer
EDAD_MADRE,1,10-14 años,Edad materna
EDAD_MADRE,2,15-19 años,Edad materna
EDAD_MADRE,3,20-24 años,Edad materna
EDAD_MADRE,4,25-29 años,Edad materna
EDAD_MADRE,5,30-34 años,Edad materna
EDAD_MADRE,6,35-39 años,Edad materna
EDAD_MADRE,7,40-44 años,Edad materna
EDAD_MADRE,8,45-49 años,Edad materna
EDAD_MADRE,9,50-54 años,Edad materna
EDAD_MADRE,99,Sin información,Edad materna
EST_CIVM,1,Unión libre 2+ años,Estado civil madre
EST_CIVM,2,Unión libre menos 2 años,Estado civil madre
EST_CIVM,3,Separada/Divorciada,Estado civil madre
EST_CIVM,4,Viuda,Estado civil madre
EST_CIVM,5,Soltera,Estado civil madre
EST_CIVM,6,Casada,Estado civil madre
EST_CIVM,9,Sin información,Estado civil madre
NIV_EDUM,1,Preescolar,Nivel educativo madre
NIV_EDUM,2,Básica primaria,Nivel educativo madre
NIV_EDUM,3,Básica secundaria,Nivel educativo madre
NIV_EDUM,4,Media académica,Nivel educativo madre
NIV_EDUM,5,Media técnica,Nivel educativo madre
NIV_EDUM,6,Normalista,Nivel educativo madre
NIV_EDUM,7,Técnica profesional,Nivel educativo madre
NIV_EDUM,8,Tecnológica,Nivel educativo madre
NIV_EDUM,9,Profesional,Nivel educativo madre
NIV_EDUM,10,Especialización,Nivel educativo madre
NIV_EDUM,11,Maestría,Nivel educativo madre
NIV_EDUM,12,Doctorado,Nivel educativo madre
NIV_EDUM,13,Ninguno,Nivel educativo madre
NIV_EDUM,99,Sin información,Nivel educativo madre
C_MUERTE,1,Necropsia,Determinación causa
C_MUERTEB,1,Historia clínica,Determinación causa
C_MUERTEC,1,Pruebas laboratorio,Determinación causa
C_MUERTED,1,Interrogatorio familiares,Determinación causa
C_MUERTEE,1,Sin información,Determinación causa
ASIS_MED,1,Sí,Asistencia médica
ASIS_MED,2,No,Asistencia médica
ASIS_MED,3,Ignorado,Asistencia médica
ASIS_MED,9,Sin información,Asistencia médica
IDPROFCER,1,Médico,Profesión certificador
IDPROFCER,2,Enfermero(a),Profesión certificador
IDPROFCER,3,Auxiliar de enfermería,Profesión certificador
IDPROFCER,4,Promotor(a) de salud,Profesión certificador
IDPROFCER,5,Funcionario registro civil,Profesión certificador
IDPROFCER,6,Médico Legista,Profesión certificador
IDPROFCER,9,Sin información,Profesión certificador
